date,price
20240207,5,160
20240214,5,160
20240221,5,260
20240228,5,260
20240306,5,260
20240313,5,260
20240320,5,260
20240327,5,510
20240403,5,820
20240409,5,820
20240417,5,820
20240424,5,820
20240430,5,820
20240508,5,820
20240514,5,820
20240522,5,820
20240529,5,820
20240605,5,820
20240612,5,820
20240619,5,820
20240626,5,990
20240703,5,990
20240710,5,990
20240717,5,990
20240724,5,990
20240731,5,990
20240807,5,990
20240814,5,990
20240821,5,990
20240828,5,990
20240904,5,980
20240911,5,980
20240919,5,980
20240925,5,980
20241002,6,020
20241008,6,020
20241016,6,020
20241023,6,020
20241030,6,020
20241106,6,020
20241120,6,020
20241127,6,220
20241204,6,660
20241211,6,660
20241218,6,660
20241224,6,660
20241231,6,660
20250108,6,660
20250115,6,330
20250122,6,330
20250129,6,330
