date,price,exchange
2023-06-28,5030,1311
2023-07-05,5030,1368
2023-07-12,5030,1295
2023-07-19,5030,1260
2023-07-26,5030,1280
2023-08-02,5020,1280
2023-08-09,5020,1312
2023-08-16,4820,1331
2023-08-23,4820,1340
2023-08-30,4820,1318
2023-09-06,4860,1324
2023-09-13,4860,1325
2023-09-20,4860,1326
2023-09-27,4860,1351
2023-10-04,4760,1351
2023-10-11,4860,1348
2023-10-18,4860,1351
2023-10-25,4860,1343
2023-11-01,4860,1349
2023-11-08,4860,1361
2023-11-15,4860,1325
2023-11-22,4860,1287
2023-11-29,4860,1294
2023-12-06,4760,1311
2023-12-13,4760,1315
2023-12-20,4760,1304
2023-12-27,4760,1296
2024-01-03,5090,1299
2024-01-10,5090,1312
2024-01-17,5090,1320
2024-01-24,5090,1336
2024-01-31,5090,1330
2024-02-07,5160,1335
2024-02-14,5160,1338
2024-02-21,5260,1332
2024-02-28,5260,1331
2024-03-06,5260,1315
2024-03-13,5260,1310
2024-03-20,5260,1320
2024-03-27,5510,1342
2024-04-03,5820,1350
2024-04-09,5820,1355
2024-04-17,5820,1389
2024-04-24,5820,1371
2024-04-30,5820,1365
2024-05-08,5820,1370
2024-05-14,5820,1375
2024-05-22,5820,1378
2024-05-29,5820,1380
2024-06-05,5820,1382
2024-06-12,5820,1385
2024-06-19,5820,1388
2024-06-26,5990,1391
2024-07-03,5990,1393
2024-07-10,5990,1395
2024-07-17,5990,1398
2024-07-24,5990,1400
2024-07-31,5990,1402
2024-08-07,5990,1405
2024-08-14,5990,1407
2024-08-21,5990,1410
2024-08-28,5990,1412
2024-09-04,5980,1415
2024-09-11,5980,1417
2024-09-19,5980,1420
2024-09-25,5980,1422
2024-10-02,6020,1425
2024-10-08,6020,1427
2024-10-16,6020,1430
2024-10-23,6020,1432
2024-10-30,6020,1435
2024-11-06,6020,1437
2024-11-20,6020,1440
2024-11-27,6220,1442
2024-12-04,6660,1445
2024-12-11,6660,1447
2024-12-18,6660,1450
2024-12-24,6660,1452
2024-12-31,6660,1455
2025-01-08,6660,1457
2025-01-15,6330,1460
2025-01-22,6330,1462
2025-01-29,6330,1465
2025-02-05,6660,1388
2025-02-12,7230,1380
2025-02-19,7230,1376
2025-02-26,6230,1382
2025-03-05,6110,1372
2025-03-12,6510,1362
2025-03-19,6110,1368
2025-03-26,6550,1363
2025-04-02,6550,1355
2025-04-09,6380,1353
2025-04-16,6380,1371
2025-04-23,6380,1377
2025-04-30,6710,1379
2025-05-07,6710,1363
2025-05-14,6710,1361
2025-05-21,6750,1361
2025-05-28,6750,1368
2025-06-04,6750,1376
