date,price
2024-02-06,573
2024-02-13,573
2024-02-20,580
2024-02-27,580
2024-03-05,580
2024-03-12,580
2024-03-19,615
2024-03-26,615
2024-04-02,615
2024-04-09,615
2024-04-16,643
2024-04-23,643
2024-04-30,643
2024-05-07,643
2024-05-14,624
2024-05-21,624
2024-05-28,624
2024-06-04,624
2024-06-11,624
2024-06-18,622
2024-06-25,622
2024-07-02,622
2024-07-09,622
2024-07-16,660
2024-07-23,660
2024-07-30,660
2024-08-06,660
2024-08-13,660
2024-08-20,611
2024-08-27,611
2024-09-04,611
2024-09-10,611
2024-09-24,568.4
2024-10-02,568.4
2024-10-08,568.4
2024-10-15,568.4
2024-10-22,568.4
2024-10-29,629.6
2024-11-05,629.6
2024-11-12,629.6
2024-11-19,629.6
2024-11-26,601
2024-12-03,601
2024-12-10,601
2024-12-17,601
2024-12-24,595
2024-12-31,595
2025-01-07,595
2025-01-14,595
