date,price
20240207,1,550
20240214,1,810
20240221,1,820
20240228,1,920
20240306,1,950
20240313,1,810
20240320,1,840
20240327,1,910
20240403,1,880
20240409,2,080
20240417,2,150
20240424,2,000
20240430,2,310
20240508,2,310
20240514,2,270
20240522,2,120
20240529,1,840
20240605,2,450
20240612,2,220
20240619,1,850
20240626,2,070
20240703,2,170
20240710,2,580
20240717,2,580
20240724,3,080
20240731,3,420
20240807,3,180
20240814,3,320
20240821,3,650
20240828,4,380
20240904,4,030
20240911,3,650
20240919,3,650
20240925,3,750
20241002,3,810
20241008,3,580
20241016,3,580
20241023,3,680
20241030,3,880
20241106,3,450
20241120,3,290
20241127,3,490
20241204,2,990
20241211,3,490
20241218,3,420
20241224,3,320
20241231,2,990
20250108,3,420
20250115,3,930
20250122,3,460
